Year  LAIUnit Area  Fortnight        L<=9   
 96   E7      SNS    01-15Jan         675   
 96   E8      SNS    16-31Jan         691   
 97   B2      Or/Sh  16-30Sep        3611   
 97   C2      Buchan 16-30Sep          23   
 97   E6      SNS    16-31Dec        9374   
 97   E7      SNS    01-15Jan         918   
 97   E8      SNS    16-31Jan         355   
 98   B2      Or/Sh  16-30Sep        8528   
 98   C2      Buchan 16-30Sep        1490   
 98   D1      CNS    01-15Sep         205   
 98   D2      CNS    16-30Sep          66   
 98   E6      SNS    16-31Dec        1522   
 98   E7      SNS    01-15Jan         953   
 98   E8      SNS    16-31Jan         170   
 99   B2      Or/Sh  16-30Sep        4064   
 99   C2      Buchan 16-30Sep         185   
 99   D2      CNS    16-30Sep         134   
 99   D3      CNS    01-15Oct         181   
 99   E6      SNS    16-31Dec         804   
 99   E7      SNS    01-15Jan        1260   
 99   E8      SNS    16-31Jan         344   
100   B2      Or/Sh  16-30Sep        3972   
100   C1      Buchan 01-15Sep          28   
100   C2      Buchan 16-30Sep         155   
100   D2      CNS    16-30Sep         376   
100   E6      SNS    16-31Dec        7346   
100   E7      SNS    01-15Jan         338   
100   E8      SNS    16-31Jan         106   
101   B2      Or/Sh  16-30Sep       11918   
101   C2      Buchan 16-30Sep         164   
101   D2      CNS    16-30Sep        1604   
101   E6      SNS    16-31Dec         971   
101   E7      SNS    01-15Jan        5531   
101   E8      SNS    16-31Jan         909   
102   B2      Or/Sh  16-30Sep        6669   
102   C2      Buchan 16-30Sep        1038   
102   D3      CNS    01-15Oct        3291   
102   E6      SNS    16-31Dec        2008   
102   E7      SNS    01-15Jan         260   
102   E8      SNS    16-31Jan         925   
103   B2      Or/Sh  16-30Sep        3199   
103   C2      Buchan 16-30Sep        2263   
103   D2      CNS    16-30Sep       12018   
103   D3      CNS    01-15Oct        3277   
103   E6      SNS    16-31Dec       12048   
103   E7      SNS    01-15Jan        3109   
103   E8      SNS    16-31Jan        1116   
104   B2      Or/Sh  16-30Sep        7055   
104   C2      Buchan 16-30Sep        3884   
104   D2      CNS    16-30Sep        5545   
104   E6      SNS    16-31Dec        6528   
104   E7      SNS    01-15Jan        2052   
104   E8      SNS    16-31Jan        4175   
105   B2      Or/Sh  16-30Sep        3380   
105   C2      Buchan 16-30Sep        1364   
105   D2      CNS    16-30Sep        5614   
105   E6      SNS    16-31Dec         498   
105   E7      SNS    01-15Jan        3999   
105   E8      SNS    16-31Jan        4822   
106   B1      Or/Sh  01-15Sep        6311   
106   B2      Or/Sh  16-30Sep        2312   
106   C2      Buchan 16-30Sep         280   
106   D2      CNS    16-30Sep        2259   
106   E6      SNS    16-31Dec       10858   
106   E7      SNS    01-15Jan        2700   
106   E8      SNS    16-31Jan        2106   
107   B2      Or/Sh  16-30Sep        1753   
107   C2      Buchan 16-30Sep        1304   
107   D2      CNS    16-30Sep         291   
107   E6      SNS    16-31Dec        4443   
107   E7      SNS    01-15Jan        2439   
107   E8      SNS    16-31Jan        3854   
108   B1      Or/Sh  01-15Sep        4978   
108   B2      Or/Sh  16-30Sep        6875   
