"t1" "t2" "age" "M" "PM" "SW" "CW" "DW" "LF"
"178" 2018.25 2018.5 0 0.29 0 0 0 0 1
"373" 2018.25 2018.5 1 0.29 0.2 12 15.56 15.56 1
"568" 2018.25 2018.5 2 0.39 1 25 25.21 25.21 1
"763" 2018.25 2018.5 3 0.44 1 50 30.13 30.13 1
"958" 2018.25 2018.5 4 0.44 1 56 0 0 1
"179" 2018.5 2018.75 0 0.29 0 4 4.82 4.82 1
"374" 2018.5 2018.75 1 0.29 0.2 25 25.62 25.62 1
"569" 2018.5 2018.75 2 0.39 1 40 39.5 39.5 1
"764" 2018.5 2018.75 3 0.44 1 60 48.75 48.75 1
"959" 2018.5 2018.75 4 0.44 1 0 0 0 1
"180" 2018.75 2019 0 0.29 0 6 5.66 5.66 1
"375" 2018.75 2019 1 0.29 0.2 25 22.26 22.26 1
"570" 2018.75 2019 2 0.39 1 40 33.44 33.44 1
"765" 2018.75 2019 3 0.44 1 58 0 0 1
"960" 2018.75 2019 4 0.44 1 0 0 0 1
"181" 2019 2019.25 0 0.29 0 0 0 0 1
"376" 2019 2019.25 1 0.29 0.2 9 4.57 4.57 1
"571" 2019 2019.25 2 0.39 1 25 13.58 13.58 1
"766" 2019 2019.25 3 0.44 1 40 33.4 33.4 1
"961" 2019 2019.25 4 0.44 1 56 0 0 1
"182" 2019.25 2019.5 0 0.29 0 0 0 0 1
"377" 2019.25 2019.5 1 0.29 0.2 12 10.44 10.44 1
"572" 2019.25 2019.5 2 0.39 1 25 17.67 17.67 1
"767" 2019.25 2019.5 3 0.44 1 50 25.4 25.4 1
"962" 2019.25 2019.5 4 0.44 1 56 0 0 1
"183" 2019.5 2019.75 0 0.29 0 4 5.28 5.28 1
"378" 2019.5 2019.75 1 0.29 0.2 25 21.12 21.12 1
"573" 2019.5 2019.75 2 0.39 1 40 36.12 36.12 1
"768" 2019.5 2019.75 3 0.44 1 60 50.79 50.79 1
"963" 2019.5 2019.75 4 0.44 1 0 0 0 1
"184" 2019.75 2020 0 0.29 0 6 6.7 6.7 1
"379" 2019.75 2020 1 0.29 0.2 25 21.54 21.54 1
"574" 2019.75 2020 2 0.39 1 40 40.29 40.29 1
"769" 2019.75 2020 3 0.44 1 58 0 0 1
"964" 2019.75 2020 4 0.44 1 0 0 0 1
"185" 2020 2020.25 0 0.29 0 0 0 0 1
"380" 2020 2020.25 1 0.29 0.2 9 5.88 5.88 1
"575" 2020 2020.25 2 0.39 1 25 7.64 7.64 1
"770" 2020 2020.25 3 0.44 1 40 20.1 20.1 1
"965" 2020 2020.25 4 0.44 1 56 0 0 1
"186" 2020.25 2020.5 0 0.29 0 0 0 0 1
"381" 2020.25 2020.5 1 0.29 0.2 12 14.68 14.68 1
"576" 2020.25 2020.5 2 0.39 1 25 19.64 19.64 1
"771" 2020.25 2020.5 3 0.44 1 50 28.78 28.78 1
"966" 2020.25 2020.5 4 0.44 1 56 0 0 1
"187" 2020.5 2020.75 0 0.29 0 4 5.18 5.18 1
"382" 2020.5 2020.75 1 0.29 0.2 25 21.87 21.87 1
"577" 2020.5 2020.75 2 0.39 1 40 33.05 33.05 1
"772" 2020.5 2020.75 3 0.44 1 60 36.99 36.99 1
"967" 2020.5 2020.75 4 0.44 1 0 0 0 1
"188" 2020.75 2021 0 0.29 0 6 5.85 5.85 1
"383" 2020.75 2021 1 0.29 0.2 25 24.7 24.7 1
"578" 2020.75 2021 2 0.39 1 40 33.33 33.33 1
"773" 2020.75 2021 3 0.44 1 58 0 0 1
"968" 2020.75 2021 4 0.44 1 0 0 0 1
"189" 2021 2021.25 0 0.29 0 0 0 0 1
"384" 2021 2021.25 1 0.29 0.2 9 14.4 14.4 1
"579" 2021 2021.25 2 0.39 1 25 19.15 19.15 1
"774" 2021 2021.25 3 0.44 1 40 30.03 30.03 1
"969" 2021 2021.25 4 0.44 1 56 0 0 1
"190" 2021.25 2021.5 0 0.29 0 0 0 0 1
"385" 2021.25 2021.5 1 0.29 0.2 12 16.69 16.69 1
"580" 2021.25 2021.5 2 0.39 1 25 26.72 26.72 1
"775" 2021.25 2021.5 3 0.44 1 50 31.63 31.63 1
"970" 2021.25 2021.5 4 0.44 1 56 0 0 1
"191" 2021.5 2021.75 0 0.29 0 4 3.55 3.55 1
"386" 2021.5 2021.75 1 0.29 0.2 25 21.9 21.9 1
"581" 2021.5 2021.75 2 0.39 1 40 31.7 31.7 1
"776" 2021.5 2021.75 3 0.44 1 60 38.46 38.46 1
"971" 2021.5 2021.75 4 0.44 1 0 0 0 1
"192" 2021.75 2022 0 0.29 0 6 6.16 6.16 1
"387" 2021.75 2022 1 0.29 0.2 25 24.55 24.55 1
"582" 2021.75 2022 2 0.39 1 40 35.35 35.35 1
"777" 2021.75 2022 3 0.44 1 58 39.08 39.08 1
"972" 2021.75 2022 4 0.44 1 0 0 0 1
"193" 2022 2022.25 0 0.29 0 0 0 0 1
"388" 2022 2022.25 1 0.29 0.2 9 5.89 5.89 1
"583" 2022 2022.25 2 0.39 1 25 20.8 20.8 1
"778" 2022 2022.25 3 0.44 1 40 27.3 27.3 1
"973" 2022 2022.25 4 0.44 1 56 0 0 1
"194" 2022.25 2022.5 0 0.29 0 0 0 0 1
"389" 2022.25 2022.5 1 0.29 0.2 12 18.66 18.66 1
"584" 2022.25 2022.5 2 0.39 1 25 32.84 32.84 1
"779" 2022.25 2022.5 3 0.44 1 50 40.77 40.77 1
"974" 2022.25 2022.5 4 0.44 1 56 0 0 1
"195" 2022.5 2022.75 0 0.29 0 4 3.3 3.3 1
"390" 2022.5 2022.75 1 0.29 0.2 25 19.26 19.26 1
"585" 2022.5 2022.75 2 0.39 1 40 35.64 35.64 1
"780" 2022.5 2022.75 3 0.44 1 60 40.18 40.18 1
"975" 2022.5 2022.75 4 0.44 1 0 0 0 1
