"t1" "t2" "age" "M" "PM" "SW" "CW" "DW" "LF"
"261" 1990.25 1990.5 1 0.29 0.2 12 13.75 13.75 1
"456" 1990.25 1990.5 2 0.39 1 25 25.3 25.3 1
"651" 1990.25 1990.5 3 0.44 1 50 40.35 40.35 1
"846" 1990.25 1990.5 4 0.44 1 56 0 0 1
"67" 1990.5 1990.75 0 0.29 0 4 6.4 6.4 1
"262" 1990.5 1990.75 1 0.29 0.2 25 20.29 20.29 1
"457" 1990.5 1990.75 2 0.39 1 40 32.92 32.92 1
"652" 1990.5 1990.75 3 0.44 1 60 39.4 39.4 1
"847" 1990.5 1990.75 4 0.44 1 0 0 0 1
"68" 1990.75 1991 0 0.29 0 6 6.67 6.67 1
"263" 1990.75 1991 1 0.29 0.2 25 28.7 28.7 1
"458" 1990.75 1991 2 0.39 1 40 38.9 38.9 1
"653" 1990.75 1991 3 0.44 1 58 52.94 52.94 1
"848" 1990.75 1991 4 0.44 1 0 0 0 1
"69" 1991 1991.25 0 0.29 0 0 0 0 1
"264" 1991 1991.25 1 0.29 0.2 9 7.85 7.85 1
"459" 1991 1991.25 2 0.39 1 25 20.54 20.54 1
"654" 1991 1991.25 3 0.44 1 40 35.43 35.43 1
"849" 1991 1991.25 4 0.44 1 56 44.3 44.3 1
"70" 1991.25 1991.5 0 0.29 0 0 0 0 1
"265" 1991.25 1991.5 1 0.29 0.2 12 12.95 12.95 1
"460" 1991.25 1991.5 2 0.39 1 25 28.75 28.75 1
"655" 1991.25 1991.5 3 0.44 1 50 49.87 49.87 1
"850" 1991.25 1991.5 4 0.44 1 56 0 0 1
"71" 1991.5 1991.75 0 0.29 0 4 6.06 6.06 1
"266" 1991.5 1991.75 1 0.29 0.2 25 30.95 30.95 1
"461" 1991.5 1991.75 2 0.39 1 40 44.28 44.28 1
"656" 1991.5 1991.75 3 0.44 1 60 67.25 67.25 1
"851" 1991.5 1991.75 4 0.44 1 0 0 0 1
"72" 1991.75 1992 0 0.29 0 6 6.64 6.64 1
"267" 1991.75 1992 1 0.29 0.2 25 30.65 30.65 1
"462" 1991.75 1992 2 0.39 1 40 43.1 43.1 1
"657" 1991.75 1992 3 0.44 1 58 59.37 59.37 1
"852" 1991.75 1992 4 0.44 1 0 0 0 1
"73" 1992 1992.25 0 0.29 0 0 0 0 1
"268" 1992 1992.25 1 0.29 0.2 9 8.78 8.78 1
"463" 1992 1992.25 2 0.39 1 25 25.73 25.73 1
"658" 1992 1992.25 3 0.44 1 40 41.8 41.8 1
"853" 1992 1992.25 4 0.44 1 56 43.9 43.9 1
"74" 1992.25 1992.5 0 0.29 0 0 8 8 1
"269" 1992.25 1992.5 1 0.29 0.2 12 11.71 11.71 1
"464" 1992.25 1992.5 2 0.39 1 25 31.25 31.25 1
"659" 1992.25 1992.5 3 0.44 1 50 49.49 49.49 1
"854" 1992.25 1992.5 4 0.44 1 56 0 0 1
"75" 1992.5 1992.75 0 0.29 0 4 6.7 6.7 1
"270" 1992.5 1992.75 1 0.29 0.2 25 26.52 26.52 1
"465" 1992.5 1992.75 2 0.39 1 40 42.42 42.42 1
"660" 1992.5 1992.75 3 0.44 1 60 50 50 1
"855" 1992.5 1992.75 4 0.44 1 0 0 0 1
"76" 1992.75 1993 0 0.29 0 6 8.14 8.14 1
"271" 1992.75 1993 1 0.29 0.2 25 27.49 27.49 1
"466" 1992.75 1993 2 0.39 1 40 44.14 44.14 1
"661" 1992.75 1993 3 0.44 1 58 50.3 50.3 1
"856" 1992.75 1993 4 0.44 1 0 0 0 1
"77" 1993 1993.25 0 0.29 0 0 0 0 1
"272" 1993 1993.25 1 0.29 0.2 9 9.32 9.32 1
"467" 1993 1993.25 2 0.39 1 25 24.94 24.94 1
"662" 1993 1993.25 3 0.44 1 40 46.5 46.5 1
"857" 1993 1993.25 4 0.44 1 56 0 0 1
"78" 1993.25 1993.5 0 0.29 0 0 0 0 1
"273" 1993.25 1993.5 1 0.29 0.2 12 14.76 14.76 1
"468" 1993.25 1993.5 2 0.39 1 25 30.58 30.58 1
"663" 1993.25 1993.5 3 0.44 1 50 48.73 48.73 1
"858" 1993.25 1993.5 4 0.44 1 56 0 0 1
"79" 1993.5 1993.75 0 0.29 0 4 4.4 4.4 1
"274" 1993.5 1993.75 1 0.29 0.2 25 25.03 25.03 1
"469" 1993.5 1993.75 2 0.39 1 40 35.19 35.19 1
"664" 1993.5 1993.75 3 0.44 1 60 55.4 55.4 1
"859" 1993.5 1993.75 4 0.44 1 0 0 0 1
"80" 1993.75 1994 0 0.29 0 6 8.14 8.14 1
"275" 1993.75 1994 1 0.29 0.2 25 26.24 26.24 1
"470" 1993.75 1994 2 0.39 1 40 36.44 36.44 1
"665" 1993.75 1994 3 0.44 1 58 70.8 70.8 1
"860" 1993.75 1994 4 0.44 1 0 0 0 1
"81" 1994 1994.25 0 0.29 0 0 0 0 1
"276" 1994 1994.25 1 0.29 0.2 9 8.56 8.56 1
"471" 1994 1994.25 2 0.39 1 25 25.91 25.91 1
"666" 1994 1994.25 3 0.44 1 40 42.09 42.09 1
"861" 1994 1994.25 4 0.44 1 56 0 0 1
"82" 1994.25 1994.5 0 0.29 0 0 0 0 1
"277" 1994.25 1994.5 1 0.29 0.2 12 15.22 15.22 1
